city,total_listings,median_price,percentile_75_price,percentile_95_price
warszawa,14785,4000,5700,11000
krakow,7366,2999,3600,5900
wroclaw,3699,2900,3500,5950
lodz,2647,2000,2500,3400
poznan,2217,2400,2850,4290
gdansk,1930,2900,3500,5200
katowice,1453,2200,2700,4500
gdynia,769,2700,3500,5500
bydgoszcz,731,1900,2300,3200
szczecin,719,2500,2900,3900
lublin,632,2400,2800,3600
czestochowa,345,1900,2300,3000
rzeszow,310,2400,2800,3800
bialystok,223,2000,2400,3000
radom,115,2000,2500,3000
